x t u
0.171875 0.0703125 0.531243
0.164062 0.078125 0.51105
0.171875 0.078125 0.533035
0.179688 0.0703125 0.552835
0.1875 0.0703125 0.574094
0.179688 0.078125 0.554699
0.1875 0.078125 0.57603
0.164062 0.0859375 0.512746
0.171875 0.0859375 0.534805
0.164062 0.09375 0.514422
0.171875 0.09375 0.536552
0.179688 0.0859375 0.556541
0.1875 0.0859375 0.577942
0.179688 0.09375 0.558359
0.1875 0.09375 0.57983
0.132812 0.101562 0.424297
0.140625 0.101562 0.44766
0.132812 0.109375 0.425641
0.140625 0.109375 0.449078
0.148438 0.101562 0.470754
0.15625 0.101562 0.493564
0.148438 0.109375 0.472244
0.15625 0.109375 0.495126
0.132812 0.117188 0.426967
0.140625 0.117188 0.450477
0.132812 0.125 0.428277
0.140625 0.125 0.451859
0.148438 0.117188 0.473716
0.15625 0.117188 0.496669
0.148438 0.125 0.475169
0.15625 0.125 0.498193
0.164062 0.101562 0.516076
0.171875 0.101562 0.538278
0.164062 0.109375 0.51771
0.171875 0.109375 0.539982
0.179688 0.101562 0.560155
0.1875 0.101562 0.581695
0.179688 0.109375 0.561929
0.1875 0.109375 0.583537
0.164062 0.117188 0.519323
0.171875 0.117188 0.541665
0.164062 0.125 0.520916
0.171875 0.125 0.543326
0.179688 0.117188 0.56368
0.1875 0.117188 0.585356
0.179688 0.125 0.565409
0.1875 0.125 0.587151
0.195312 0.0703125 0.595006
0.203125 0.0703125 0.615561
0.195312 0.078125 0.597013
0.203125 0.078125 0.617636
0.210938 0.0703125 0.635744
0.21875 0.0703125 0.655545
0.210938 0.078125 0.637888
0.21875 0.078125 0.657755
0.195312 0.0859375 0.598995
0.203125 0.0859375 0.619687
0.195312 0.09375 0.600952
0.203125 0.09375 0.621712
0.210938 0.0859375 0.640006
0.21875 0.0859375 0.659939
0.210938 0.09375 0.642097
0.21875 0.09375 0.662095
0.226562 0.0703125 0.67495
0.234375 0.0703125 0.693949
0.226562 0.078125 0.677226
0.234375 0.078125 0.69629
0.242188 0.0703125 0.712531
0.25 0.0703125 0.730682
0.242188 0.078125 0.714933
0.25 0.078125 0.733146
0.226562 0.0859375 0.679475
0.234375 0.0859375 0.698601
0.226562 0.09375 0.681695
0.234375 0.09375 0.700884
0.242188 0.0859375 0.717307
0.25 0.0859375 0.73558
0.242188 0.09375 0.719651
0.25 0.09375 0.737984
0.195312 0.101562 0.602885
0.203125 0.101562 0.623711
0.195312 0.109375 0.604794
0.203125 0.109375 0.625686
0.210938 0.101562 0.644162
0.21875 0.101562 0.664225
0.210938 0.109375 0.646202
0.21875 0.109375 0.666328
0.195312 0.117188 0.606678
0.203125 0.117188 0.627636
0.195312 0.125 0.608539
0.203125 0.125 0.629561
0.210938 0.117188 0.648215
0.21875 0.117188 0.668404
0.210938 0.125 0.650204
0.21875 0.125 0.670454
0.226562 0.101562 0.683888
0.234375 0.101562 0.703138
0.226562 0.109375 0.686053
0.234375 0.109375 0.705364
0.242188 0.101562 0.721966
0.25 0.101562 0.740358
0.242188 0.109375 0.724251
0.25 0.109375 0.742702
0.226562 0.117188 0.688191
0.234375 0.117188 0.707563
0.226562 0.125 0.690302
0.234375 0.125 0.709733
0.242188 0.117188 0.726508
0.25 0.117188 0.745016
0.242188 0.125 0.728736
0.25 0.125 0.747301
0 0.132812 0
0.0078125 0.132812 0.0260145
0.015625 0.132812 0.0520134
0 0.140625 0
0.0078125 0.140625 0.0260918
0.015625 0.140625 0.0521679
0.0234375 0.132812 0.0779809
0.03125 0.132812 0.103902
0.0234375 0.140625 0.0782126
0.03125 0.140625 0.10421
0 0.148438 0
0.0078125 0.148438 0.0261681
0.015625 0.148438 0.0523205
0 0.15625 0
0.0078125 0.15625 0.0262434
0.015625 0.15625 0.052471
0.0234375 0.148438 0.0784413
0.03125 0.148438 0.104515
0.0234375 0.15625 0.078667
0.03125 0.15625 0.104816
0.0390625 0.132812 0.129759
0.046875 0.132812 0.155539
0.0390625 0.140625 0.130145
0.046875 0.140625 0.156001
0.0546875 0.132812 0.181225
0.0625 0.132812 0.206802
0.0546875 0.140625 0.181764
0.0625 0.140625 0.207417
0.0390625 0.148438 0.130526
0.046875 0.148438 0.156458
0.0390625 0.15625 0.130901
0.046875 0.15625 0.156908
0.0546875 0.148438 0.182295
0.0625 0.148438 0.208023
0.0546875 0.15625 0.18282
0.0625 0.15625 0.208622
0 0.164062 0
0.0078125 0.164062 0.0263177
0.015625 0.164062 0.0526196
0 0.171875 0
0.0078125 0.171875 0.0263911
0.015625 0.171875 0.0527663
0.0234375 0.164062 0.0788898
0.03125 0.164062 0.105113
0.0234375 0.171875 0.0791097
0.03125 0.171875 0.105405
0 0.179688 0
0.0078125 0.179688 0.0264634
0.015625 0.179688 0.052911
