x y t u
0.125 0.1875 0.125 0.647699
0 0.21875 0.09375 0.596091
0.03125 0.21875 0.09375 0.61186
0.0625 0.21875 0.09375 0.627717
0 0.25 0.09375 0.605212
0.03125 0.25 0.09375 0.621473
0.0625 0.25 0.09375 0.637839
0 0.21875 0.125 0.599587
0.03125 0.21875 0.125 0.614809
0.0625 0.21875 0.125 0.630051
0 0.25 0.125 0.609695
0.03125 0.25 0.125 0.625441
0.0625 0.25 0.125 0.641221
0.09375 0.21875 0.09375 0.64361
0.125 0.21875 0.09375 0.659481
0.09375 0.25 0.09375 0.654256
0.125 0.25 0.09375 0.670662
0.09375 0.21875 0.125 0.645255
0.125 0.21875 0.125 0.660359
0.09375 0.25 0.125 0.656975
0.125 0.25 0.125 0.67264
0.15625 0.15625 0 0.679947
0.15625 0.15625 0.03125 0.666212
0.1875 0.15625 0 0.697073
0.1875 0.15625 0.03125 0.682501
0.15625 0.1875 0 0.689562
0.15625 0.1875 0.03125 0.676832
0.1875 0.1875 0 0.707182
0.1875 0.1875 0.03125 0.693651
0.15625 0.15625 0.0625 0.656387
0.1875 0.15625 0.0625 0.671791
0.15625 0.1875 0.0625 0.667997
0.1875 0.1875 0.0625 0.683958
0.21875 0.15625 0 0.714086
0.21875 0.15625 0.03125 0.698654
0.25 0.15625 0 0.730906
0.25 0.15625 0.03125 0.714591
0.21875 0.1875 0 0.724699
0.21875 0.1875 0.03125 0.710342
0.25 0.1875 0 0.742029
0.25 0.1875 0.03125 0.726823
0.21875 0.15625 0.0625 0.687014
0.25 0.15625 0.0625 0.70198
0.21875 0.1875 0.0625 0.699744
0.25 0.1875 0.0625 0.715276
0.15625 0.21875 0 0.698499
0.15625 0.21875 0.03125 0.686874
0.1875 0.21875 0 0.716585
0.1875 0.21875 0.03125 0.704202
0.15625 0.25 0 0.706694
0.15625 0.25 0.03125 0.696271
0.1875 0.25 0 0.725212
0.1875 0.25 0.03125 0.714084
0.15625 0.21875 0.0625 0.679125
0.1875 0.21875 0.0625 0.695629
0.15625 0.25 0.0625 0.689701
0.1875 0.25 0.0625 0.70673
0.21875 0.21875 0 0.734577
0.21875 0.21875 0.03125 0.721411
0.25 0.21875 0 0.752388
0.25 0.21875 0.03125 0.738417
0.21875 0.25 0 0.743646
0.21875 0.25 0.03125 0.731785
0.25 0.25 0 0.761905
0.25 0.25 0.03125 0.74929
0.21875 0.21875 0.0625 0.711964
0.25 0.21875 0.0625 0.72805
0.21875 0.25 0.0625 0.723597
0.25 0.25 0.0625 0.740219
0.15625 0.15625 0.09375 0.650484
0.1875 0.15625 0.09375 0.66497
0.15625 0.1875 0.09375 0.66307
0.1875 0.1875 0.09375 0.678129
0.15625 0.15625 0.125 0.648517
0.1875 0.15625 0.125 0.662062
0.15625 0.1875 0.125 0.662064
0.1875 0.1875 0.125 0.676187
0.21875 0.15625 0.09375 0.679215
0.25 0.15625 0.09375 0.693145
0.21875 0.1875 0.09375 0.69295
0.25 0.1875 0.09375 0.707455
0.21875 0.15625 0.125 0.675295
0.25 0.15625 0.125 0.688141
0.21875 0.1875 0.125 0.689996
0.25 0.1875 0.125 0.703413
0.15625 0.21875 0.09375 0.675263
0.1875 0.21875 0.09375 0.690888
0.15625 0.25 0.09375 0.686991
0.1875 0.25 0.09375 0.70317
0.15625 0.21875 0.125 0.675298
0.1875 0.21875 0.125 0.689997
0.15625 0.25 0.125 0.688146
0.1875 0.25 0.125 0.703417
0.21875 0.21875 0.09375 0.706278
0.25 0.21875 0.09375 0.721352
0.21875 0.25 0.09375 0.719118
0.25 0.25 0.09375 0.734753
0.21875 0.21875 0.125 0.704382
0.25 0.21875 0.125 0.718371
0.21875 0.25 0.125 0.718374
0.25 0.25 0.125 0.73293
0 0 0.15625 0.523763
0.03125 0 0.15625 0.534672
0 0.03125 0.15625 0.535907
0.03125 0.03125 0.15625 0.547331
0.0625 0 0.15625 0.545463
0.0625 0.03125 0.15625 0.558643
0 0.0625 0.15625 0.54804
0.03125 0.0625 0.15625 0.559991
0.0625 0.0625 0.15625 0.571837
0 0 0.1875 0.529341
